name,equipment_id,equipment_category,specialty,price_usd,manufacturer,manufacturer_id,stock,description
"A-10C Thunderbolt II",1,Aircraft,"CAS / Attack",96446160,"Fairchild",27,92,"Twin-engine, straight-wing jet aircraft designed for close air support, with a distinctive 30mm GAU-8 Avenger rotary cannon, known for its durability and ability to operate in low-altitude environments."
"A-29C Super Tucano",2,Aircraft,"Research and development",103950409,"Sierra Nevada Corporation",53,26,"Light attack aircraft with counter-insurgency capabilities, featuring advanced avionics and weapons systems, used primarily for pilot training and light attack missions."
"AC-130J Ghostrider",3,Aircraft,"CAS / Attack",67357039,"Lockheed Martin",38,35,"Heavily armed ground-attack variant of the C-130 transport aircraft, equipped with precision strike capabilities and sophisticated sensor systems for close air support missions."
"B-1B Lancer",4,Aircraft,"Bomber",32250211,"Rockwell International",52,61,"Supersonic variable-sweep wing heavy bomber with long-range capabilities, featuring an advanced electronic jamming system and the ability to deploy both conventional and nuclear weapons."
"B-2A Spirit",5,Aircraft,"Bomber",82805567,"Northrop Grumman",45,82,"Strategic stealth bomber with flying wing design, capable of delivering both conventional and nuclear weapons, known for its low observable stealth technology."
"B-21 Raider",6,Aircraft,"Bomber",65746943,"Northrop Grumman",45,8,"Next-generation stealth bomber designed to replace the B-2 Spirit and B-1 Lancer, featuring advanced stealth technology and the capability for both manned and unmanned operation."
"B-52H Stratofortress",7,Aircraft,"Bomber",62455189,"Boeing",13,51,"Long-range, subsonic strategic bomber that has been in service since the 1950s, capable of carrying a wide range of weapons including nuclear bombs, cruise missiles, and precision-guided munitions."
"C-5M Super Galaxy",8,Aircraft,"Strategic airlifter",72094175,"Lockheed Martin",38,54,"Strategic transport aircraft and one of the largest military aircraft in the world, used for carrying oversized cargo over intercontinental ranges."
"C-12C/D/F/J Huron",9,Aircraft,"Transport",43531959,"Beechcraft",9,20,"Military version of the Beechcraft King Air, used for utility transport, passenger and light cargo transport, and reconnaissance missions."
"C-130H Hercules",10,Aircraft,"Tactical airlifter",15300003,"Lockheed Martin",38,31,"Four-engine turboprop military transport aircraft designed for troop, medical evacuation, and cargo transport, capable of operating from unprepared runways."
"C-130J Super Hercules/J-30 Super Hercules",11,Aircraft,"Tactical airlifter",111433789,"Lockheed Martin",38,6,"Upgraded version of the C-130 with improved performance, featuring new engines, digital avionics, and increased cargo capacity."
"C-146A Wolfhound",12,Aircraft,"Transport",101704539,"Fairchild",27,31,"Medium-sized, twin-engine transport aircraft used for special operations missions, capable of short takeoff and landing operations."
"C-147A",13,Aircraft,"Transport",29826873,"De Havilland Canada",24,89,"Light utility aircraft used by the U.S. Army Parachute Team for parachute demonstration missions."
"C-17A Globemaster III",14,Aircraft,"Strategic airlifter",99096047,"McDonnell Douglas & Boeing",41,74,"Strategic airlifter used for rapid strategic airlift of troops and cargo to main operating bases or forward operating locations worldwide."
"C-21A Learjet 35",15,Aircraft,"VIP transport",14501439,"Learjet",37,34,"Twin-engine jet aircraft used for passenger and cargo airlift, aeromedical evacuation, and other priority missions."
"C-32A/B Air Force Two",16,Aircraft,"VIP transport",110158568,"Boeing",13,27,"Military passenger transport aircraft, a modified Boeing 757 primarily used to transport the Vice President and other high-ranking government officials."
"C-37A/B Gulfstream V",17,Aircraft,"VIP transport",43841504,"Gulfstream",32,3,"VIP transport aircraft based on the Gulfstream V business jet, used to transport high-ranking military and government officials."
"C-40B/C",18,Aircraft,"VIP transport",39456733,"Boeing",13,60,"Military version of the Boeing 737-700C used for transporting high-ranking military and government officials, with advanced communications capabilities."
"CN-235",19,Aircraft,"Reconnaissance",120803970,"CASA",17,63,"Medium-range twin-engine transport aircraft used for special operations missions, with maritime patrol and surveillance capabilities."
"CV-22B Osprey",20,Aircraft,"CSAR / transport",127375475,"Bell & Boeing",11,45,"Tiltrotor aircraft combining the vertical takeoff, hover, and vertical landing capabilities of a helicopter with the speed and range of a turboprop aircraft, used primarily for special operations."
"E-3B/G Sentry",21,Aircraft,"AWACS",188172893,"Boeing",13,21,"Airborne Warning and Control System aircraft providing surveillance, command, control, and communications functions for tactical and air defense forces."
"E-4B",22,Aircraft,"Command and control",19001449,"Boeing",13,82,"National Airborne Operations Center, a militarized version of the Boeing 747-200, serves as a mobile command post in the event of national emergency or destruction of ground command centers."
"E-9A Widget",23,Aircraft,"Surveillance",74227062,"De Havilland Canada",24,17,"Airborne surveillance and range instrumentation platform used to monitor missile test ranges and provide telemetry data."
